Region,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
West Indies, - , - , - , - ,"33,723","31,781","32,100","30,260","31,055","25,804","33,011","28,044","25,364"
Other Caribbean,"169,959","225,425","237,953","215,277","71,598","72,982","73,136","79,153","74,969","81,024","72,717","79,386","76,251"
Central America,"11,203,637","14,190,041","14,450,476","14,175,411","14,393,833","14,763,612","14,758,017","14,710,961","14,751,230","15,034,607","15,027,927","15,028,973","14,796,926"
Mexico,"9,177,487","11,541,404","11,738,537","11,412,668","11,478,413","11,711,103","11,672,619","11,563,374","11,584,977","11,714,489","11,643,298","11,573,680","11,269,913"
Belize, - , - , - , - ,"48,567","47,197","45,556","47,437","50,296","48,368","48,811","48,918","48,874"
Costa Rica,"71,870","81,342","85,605","81,038","86,343","81,933","78,111","76,678","78,659","83,337","90,109","85,133","83,075"
El Salvador,"817,336","1,047,124","1,104,390","1,094,993","1,149,895","1,214,049","1,264,743","1,271,859","1,252,067","1,315,474","1,352,357","1,387,022","1,401,832"
Guatemala,"480,665","720,901","700,567","739,254","798,682","830,824","850,882","858,530","902,293","915,595","927,593","935,707","958,842"
Honduras,"282,852","405,258","430,504","460,197","467,943","522,581","490,636","521,682","533,598","588,301","599,030","651,059","655,362"
Nicaragua,"220,335","235,734","230,902","238,224","253,250","247,593","241,649","258,400","240,619","255,233","256,171","243,024","262,820"
Panama,"105,177","95,684","102,158","96,128","103,774","99,419","103,689","103,269","101,024","107,299","103,625","94,958","106,672"
Other Central America,"47,915","62,594","57,813","52,909","6,966","8,913","10,132","9,732","7,697","6,511","6,933","9,472","9,536"
South America,"1,930,271","2,542,514","2,572,196","2,566,925","2,595,824","2,729,831","2,710,544","2,727,383","2,768,381","2,855,695","2,918,029","2,979,491","3,213,187"
Argentina,"125,218","165,850","172,736","160,218","163,791","171,534","162,875","176,094","170,086","184,956","181,233","189,126","180,521"
Bolivia,"53,278","73,394","70,219","71,491","74,024","78,900","76,626","71,850","79,924","80,650","78,093","79,461","72,313"
Brazil,"212,428","342,555","338,853","332,632","359,149","339,613","329,861","325,547","337,040","335,608","361,374","409,595","451,084"
Chile,"80,804","89,060","85,057","91,590","87,607","91,172","97,337","88,290","97,585","94,089","95,104","93,647","101,068"
Colombia,"509,872","592,436","604,527","600,226","609,845","636,555","658,667","677,068","677,231","706,826","699,399","704,587","783,032"
Ecuador,"298,626","384,677","406,907","412,676","411,826","443,173","435,476","420,910","427,906","423,576","441,257","439,123","454,178"
Guyana,"211,189","250,178","242,667","258,096","245,596","265,271","259,036","260,268","259,815","273,019","281,408","266,368","268,577"
Peru,"278,186","382,153","401,129","384,923","406,910","428,547","411,829","426,263","440,292","448,750","445,921","427,445","458,785"
Uruguay,"24,176","49,517","50,578","46,855","42,695","50,176","44,544","45,065","43,541","52,516","43,971","42,181","50,680"
Venezuela,"107,031","162,524","155,492","168,592","157,819","184,039","189,219","194,287","197,724","216,187","255,520","290,224","351,144"
Other South America,"53,639","50,170","44,031","39,626","36,562","40,851","45,074","41,741","37,237","39,518","34,749","37,734","41,805"
Northern America,"829,442","855,296","838,661","826,871","822,377","806,925","794,779","808,290","846,921","812,642","838,476","790,763","816,903"
Canada,"820,771","846,913","830,388","818,920","814,965","798,649","786,317","800,985","840,192","806,387","830,628","783,206","809,267"
Other Northern America,"8,671","8,383","8,273","7,951","7,412","8,276","8,462","7,305","6,729","6,255","7,848","7,557","7,636"
Born at sea,316, - , - , - , - , - , - , - , - , - , - , - , - 
